"naziv"	"godina/mjesto rođenja/ smrti"	"sadržaj"
"Đurđe Teodorović"	"Obrovac, 1907 - Beograd, 1986"	"Slikar, karikaturista, illustrator, scenograf, novinar. Studira slikarstvo na Likovnoj akademiji u Beogradu, kod profesorâ Bete Vukanović, Milana Milovanovića i Ljubomira Ivanovića. Bio je jedan od osnivača socijalno angažovane grupe “Život”, formirane 1934. godine. Grupa se zalagala za angažovanost i realističan pristup umjetnosti. Usavršavao je slikarstvo u Parizu, gdje proširuje vidike i razvija interesovanje za načela moderne pa po povratku radi u rasponu od figuracije do apstrakcije. Bio je vješt u komponovanju scena, širokog raspona tema, često geometrijski stilizovanih, a slike su često bile monumentalnih formata. Kasnije je radio kao profesor na Višoj pedagoškoj školi, a potom do odlaska u penziju bio profesor na Akademiji likovnih umetnosti u Beogradu. Osim slikarstva bavio se ilustracijom, uglavnom dječijih knjiga, scenografijom i političkom karikaturom (u časopisu NIN, u čijem je osnivanju učestvovao). 
"
"Eduard Peithner von Lichtenfels"	"Beč, 1833 - Beč, 1913"	"Austrijski pejzažni slikar i grafičar, jedan od značajnijih predstavnika alpskog i planinskog pejzaža u XIX vijeku. Školovao se na Akademiji likovnih umjetnosti u Beču, a njegov rad odlikuje precizno opažanje prirode, suzdržan kolorit i osjećaj za monumentalnost reljefa. Pored Alpa, slikao je i motive iz Dalmacije i južnih krajeva Monarhije."
"Edward Lear"	"Midlseks, 1812 - Sanremo, 1888"	"Slikar, ilustrator, muzičar, pjesnik, poznat po tzv. literarnim besmislicama. Radio ilustracije ptica i životinja za Zoološko udruženje. Usled narušavanja zdravlja posvetio se slikanju pejzaža i putovanjima. Obišao je Grčku, Egipat, Indiju, Cejlon i radio predloške za slike u ulju i akvarelu. Posjetio i Italiju gdje je bio impresioniran načinom života, tradicijom i spomenicima, pa ostaje da živi do kraja života. Boravio u Albaniji i Crnoj Gori. Autor je većeg broja knjiga."
"Emanuel Cedrick"	"Gisborn, 1906 - Sidnej, 1995"	"Novozelandsko-australijski slikar i grafičar, jedan od najplodnijih i najsvestranijih umjetnika Australije XX vijeka. Porijeklom sa Novog Zelanda, rano je počeo studije umjetnosti u Kraljevskom umjetničkom društvu, a sa 19 godina radio je kao komercijalni umjetnik u Sidneju. Tokom Drugog svjetskog rata služio je u RAAF-u u Novoj Gvineji, gdje je djelovao i kao neslužbeni ratni umjetnik. "
"Emil Jakob Schindler"	"Beč, 1842 - Vestrland, 1892"	"Slikar.  Studirao Likovnu akademiju u Beču, bio inspirisan holandskim slikarstvom. Putovao je u Italiju i po Dalmaciji, a kasnijih godina i u Francusku i Holandiju. Od 1887. godine formira umjetničku koloniju u zamku Plankenbergu. 1887. po narudžbini austrijskog kralja Rudolfa napravio je crteže dalmatinske obale i Krfa u okviru projekta „Austro-ugarska monarhija u slici i riječi“. Enciklopedija se sastojala od 24 toma i sadržala je opise zemalja, predjela koji su bili u sastavu Austro-ugarske monarhije, a štampana je na nekoliko jezika. Zahvaljujući ovom projektu postao je počasni član Bečke, a potom i Minhenske akademije nauka."
"Eugène Grandsire"	"Pariz, 1845 - Pariz, 1907"	"Eugène Grandsire bio je francuski slikar, crtač i ilustrator aktivan u drugoj polovini XIX vijeka. Školovao se u Parizu i izlagao na Pariskom Salonu, a paralelno je ostvario značajan opus u oblasti ilustracije, naročito za putopisna i geografska izdanja. Njegovi crteži odlikuju se kombinacijom slikarskog senzibiliteta i topografske preciznosti, što ih je činilo pogodnim kao predloške za gravure u luksuznim knjigama. U djelu Les Bords de l’Adriatique et le Monténégro Charlesa Yriartea (1878) pojavljuje se kao autor crteža pejzaža i veduta, koje su potom specijalizovani graveri interpretirali u drvorezu."
"Fedor von Karacsay"	"1787 - Teheran, 1859"	"Austrijski pukovnik i zapovjednik grada i tvrđave u Kotoru (1787–1859), poticao je iz ugledne plemićke porodice. Pored vojne karijere, bavio se akvarelom i izradom geografskih karata. Tokom službe u Boki Kotorskoj bio je uključen u putovanje Fridriha Avgusta, kralja Saksonije, kroz Istru, Dalmaciju i Crnu Goru (1838), što je predstavljalo prvu zvaničnu posjetu jednog evropskog suverena Cetinju u vrijeme Njegoševe vladavine i značajno doprinijelo evropskom interesovanju za Crnu Goru. Karačaj je autor više dokumentarno-likovnih zapisa Crne Gore i Boke, uključujući akvarele Cetinja i Cetinjskog manastira, kao i karte Crne Gore objavljene u Beču. Njegovo najznačajnije djelo je album 100 vedute delle coste orientali del mare Adriatico, sa stotinu preciznih akvarela istočne jadranske obale od Zadra do Bara, među kojima posebno mjesto zauzimaju prizori Crne Gore i Bokokotorskog zaliva u Njegoševo doba."
"Filip R. Vučković "	"Skadar, 1888 - Beograd,  1961"	"Slikar, likovni pedagog. Upisuje Umetničko-zanatsku školu u Beogradu 1909. ali već nakon dvije godine odlazi u Minhen, gdje studira na Akademiji umjetnopsti, u klasi profesora P. Halma. Takođe, dvije godine je proveo u Parizu, u Školi lijepih umjetnosti. U pojedinim izvorima može se naći podatak i da se školovao na Umjetničkoj akademiji u Veneciji,  koju je završio 1924.  Tokom studiranja bio usmjeren ka akadmeizmu, da bi se postepeno okrenuo ka ekspresionističkom izrazu. Radio je kao likovni pedagog u Beogradu. "
"Franz Schwenfurth"	"1844 - 1918"	"Franz Schwenfurth bio je austrijski slikar pejzaža i veduta, aktivan u drugoj polovini XIX i početkom XX vijeka. Školovan u bečkom umjetničkom krugu, radio je motive iz Alpa, južnih provincija Monarhije i Jadrana, sa naglaskom na mirne, pregledne kompozicije i umjeren kolorit. Njegova djela stoje na razmeđi između topografske vedute i slikarskog pejzaža, često namijenjena građanskoj publici i tržištu umjetnina."
"Franz Zeller"	"Beč, 1805 - 1876"	"Slikar, litograf, autor grafika i veduta.  Rođen u bečkoj plemićkoj porodici, studirao pravo i započeo karijeru u pravosuđu. Ubrzo se posvećuje slikarstvu i grafičkoj produkciji, kao autodidakta. Radio u tehnici ulja, akvarela, gvaša i litografiji. Često prikazivao vojne scene, prizore iz lova, svakodnevnog života i pejzaže. Njegove slike, litografije i druge grafike odražavaju veliki interes publike u to doba za vedute i dokumentaciju lokaliteta kroz likovnu umjetnost. Izlagao u Beču."
